,C,Classifier,Dataset,accuracy
163,,DTW,TwoLeadECG,0.868
164,,DTW,Two_Patterns,0.998
165,,DTW,WordsSynonyms,0.748
166,,DTW,synthetic_control,0.983
167,,DTW,uWaveGestureLibrary_X,0.773
168,,DTW,uWaveGestureLibrary_Y,0.6990000000000001
169,,DTW,uWaveGestureLibrary_Z,0.6779999999999999
170,,DTW,wafer,0.995
171,,DTW,yoga,0.845
172,,TSBF,50words,0.791
173,,TSBF,Adiac,0.755
174,,TSBF,Beef,0.7130000000000001
175,,TSBF,CBF,0.991
176,,TSBF,ChlorineConcentration,0.6639999999999999
177,,TSBF,CinC_ECG_torso,0.738
178,,TSBF,Coffee,0.996
179,,TSBF,Cricket_X,0.722
180,,TSBF,Cricket_Y,0.741
181,,TSBF,Cricket_Z,0.737
182,,TSBF,DiatomSizeReduction,0.874
183,,TSBF,ECG200,0.855
184,,TSBF,ECGFiveDays,0.817
185,,TSBF,FaceAll,0.766
186,,TSBF,FaceFour,0.949
187,,TSBF,FacesUCR,0.91
188,,TSBF,Fish,0.92
189,,TSBF,Gun_Point,0.989
190,,TSBF,Haptics,0.512
191,,TSBF,InlineSkate,0.397
192,,TSBF,ItalyPowerDemand,0.904
193,,TSBF,Lightning2,0.743
194,,TSBF,Lightning7,0.738
195,,TSBF,MALLAT,0.963
196,,TSBF,MedicalImages,0.7310000000000001
197,,TSBF,MoteStrain,0.865
198,,TSBF,OSULeaf,0.671
199,,TSBF,OliveOil,0.91
200,,TSBF,SonyAIBORobotSurface,0.825
201,,TSBF,SonyAIBORobotSurfaceII,0.804
202,,TSBF,StarLightCurves,
203,,TSBF,SwedishLeaf,0.925
204,,TSBF,Symbols,0.966
205,,TSBF,Trace,0.98
206,,TSBF,TwoLeadECG,0.954
207,,TSBF,Two_Patterns,0.999
208,,TSBF,WordsSynonyms,0.698
209,,TSBF,synthetic_control,0.992
210,,TSBF,uWaveGestureLibrary_X,0.8360000000000001
211,,TSBF,uWaveGestureLibrary_Y,0.751
212,,TSBF,uWaveGestureLibrary_Z,0.783
213,,TSBF,wafer,0.996
214,,TSBF,yoga,0.851
215,,LS,50words,0.7681
216,,LS,Adiac,0.5631999999999999
217,,LS,Beef,0.76
218,,LS,CBF,0.9944
219,,LS,ChlorineConcentration,0.6514
220,,LS,CinC_ECG_torso,0.833
221,,LS,Coffee,1.0
222,,LS,Cricket_X,0.7908
223,,LS,Cricket_Y,0.7513
224,,LS,Cricket_Z,0.7995
225,,LS,DiatomSizeReduction,0.9667
226,,LS,ECG200,0.874
227,,LS,ECGFiveDays,1.0
228,,LS,FaceAll,0.7825
229,,LS,FaceFour,0.9522
230,,LS,FacesUCR,0.9413
231,,LS,Fish,0.9337
232,,LS,Gun_Point,1.0
233,,LS,Haptics,0.46819999999999995
234,,LS,InlineSkate,0.4273
235,,LS,ItalyPowerDemand,0.9695
236,,LS,Lightning2,0.823
237,,LS,Lightning7,0.8027
238,,LS,MALLAT,0.9543
239,,LS,MedicalImages,0.7295
240,,LS,MoteStrain,0.9129
241,,LS,OSULeaf,0.8182
242,,LS,OliveOil,0.43999999999999995
243,,LS,SonyAIBORobotSurface,0.8974
244,,LS,SonyAIBORobotSurfaceII,0.9184
245,,LS,StarLightCurves,
246,,LS,SwedishLeaf,0.913
247,,LS,Symbols,0.9644
248,,LS,Trace,1.0
249,,LS,TwoLeadECG,0.9974
250,,LS,Two_Patterns,0.997
251,,LS,WordsSynonyms,0.6602
252,,LS,synthetic_control,0.9927
253,,LS,uWaveGestureLibrary_X,0.7998000000000001
254,,LS,uWaveGestureLibrary_Y,0.7129
