,Dataset,9kFeatures,BOSS,ED,DTW,TSBF,LS,LogicalShapelet,FastShapelet,SAX-VSM,ShapeletTransformEnsemble,Ensemble-C4.5,Ensemble-1NN,Ensemble-NaiveBayes,Ensemble-BayesianNetwork,Ensemble-RandomForest,Ensemble-RotationForest,Ensemble-SVM(L),Ensemble-1NN-DTW,Shotgun,SVC,LDA,LinearSVC
32,StarLightCurves,,0.9790000000000001,,,,,,,,0.976,,,,,,,,,0.916,,,
33,Symbols,,0.968,0.9,0.938,0.966,0.9644,0.643,0.932,,0.8859999999999999,0.5588000000000001,0.8724,0.8874,0.9085,0.7879,0.8714,0.8864,0.9337000000000001,0.915,0.878391959798995,0.8170854271356784,0.7748743718592965
34,TwoLeadECG,,0.9840000000000001,0.747,0.868,0.954,0.9974,0.856,0.91,,0.996,0.7646999999999999,0.9939,0.9903,0.9895,0.9061,0.9684,0.9921,0.7946,0.923,0.9086918349429324,0.8893766461808604,0.9280070237050044
35,WordsSynonyms,,0.638,0.618,0.748,0.698,0.6602,,,,,,,,,,,,,0.633,,,
36,Cricket_X,,,0.5740000000000001,0.764,0.722,0.7908,,,,0.782,,,,,,,,,0.7,,,
37,Cricket_Y,,,0.6439999999999999,0.803,0.741,0.7513,,,,0.764,,,,,,,,,0.662,,,
38,Cricket_Z,,,0.62,0.8200000000000001,0.737,0.7995,,,,0.772,,,,,,,,,0.728,,,
39,MoteStrain,,,0.879,0.866,0.865,0.9129,0.8320000000000001,0.7829999999999999,,0.8909999999999999,0.7707999999999999,0.889,0.8881999999999999,0.8874,0.8586,0.8682,0.873,0.8155,,0.8634185303514377,0.7244408945686901,0.8610223642172524
40,uWaveGestureLibrary_X,,,0.739,0.773,0.8360000000000001,0.7998000000000001,,,,,,,,,,,,,0.749,,,
41,uWaveGestureLibrary_Y,,,0.662,0.6990000000000001,0.751,0.7129,,,,,,,,,,,,,0.662,,,
42,uWaveGestureLibrary_Z,,,0.65,0.6779999999999999,0.783,0.7315,,,,,,,,,,,,,0.652,,,
